Date	MIN	MAX	AVG	LOWSTD	HIGHSTD
2008-10-01	14.37	31.51	26.27	21.46	31.08
2008-09-01	10.34	31.41	23.89	17.05	30.74
2008-08-01	21.76	29.55	24.88	21.57	28.19
2008-07-01	0.00	0.00	0.00	0.00	0.00
2008-06-01	25.08	25.08	25.08	25.08	25.08
2008-05-01	22.47	33.41	28.61	24.87	32.35
2008-04-01	2.25	34.57	16.28	3.67	28.88
2008-03-01	16.27	36.13	31.50	28.24	34.76
2008-02-01	22.53	32.32	27.59	25.20	29.98
2008-01-01	15.41	28.53	24.71	21.36	28.06
2007-12-01	21.37	29.00	25.24	23.29	27.20
2007-11-01	11.13	29.85	24.22	18.97	29.48
2007-10-01	14.37	31.51	26.27	21.46	31.08
2007-09-01	10.34	31.41	23.89	17.05	30.74
2007-08-01	21.76	29.55	24.88	21.57	28.19
2007-07-01	0.00	0.00	0.00	0.00	0.00
2007-06-01	25.08	25.08	25.08	25.08	25.08
2007-05-01	22.47	33.41	28.61	24.87	32.35
2007-04-01	2.25	34.57	16.28	3.67	28.88
2007-03-01	16.27	36.13	31.50	28.24	34.76
2007-02-01	22.53	32.32	27.59	25.20	29.98
2007-01-01	15.41	28.53	24.71	21.36	28.06
2006-12-01	21.37	29.00	25.24	23.29	27.20
2006-11-01	11.13	29.85	24.22	18.97	29.48
2006-10-01	14.37	31.51	26.27	21.46	31.08
2006-09-01	10.34	31.41	23.89	17.05	30.74
2006-08-01	21.76	29.55	24.88	21.57	28.19
2006-07-01	0.00	0.00	0.00	0.00	0.00
2006-06-01	25.08	25.08	25.08	25.08	25.08
2006-05-01	22.47	33.41	28.61	24.87	32.35
2006-04-01	2.25	34.57	16.28	3.67	28.88
2006-03-01	16.27	36.13	31.50	28.24	34.76
2006-02-01	22.53	32.32	27.59	25.20	29.98
2006-01-01	15.41	28.53	24.71	21.36	28.06
2005-12-01	21.37	29.00	25.24	23.29	27.20
2005-11-01	11.13	29.85	24.22	18.97	29.48
2005-10-01	14.37	31.51	26.27	21.46	31.08
2005-09-01	10.34	31.41	23.89	17.05	30.74
2005-08-01	21.76	29.55	24.88	21.57	28.19
2005-07-01	0.00	0.00	0.00	0.00	0.00
2005-06-01	25.08	25.08	25.08	25.08	25.08
2005-05-01	22.47	33.41	28.61	24.87	32.35
2005-04-01	2.25	34.57	16.28	3.67	28.88
2005-03-01	16.27	36.13	31.50	28.24	34.76
2005-02-01	22.53	32.32	27.59	25.20	29.98
2005-01-01	15.41	28.53	24.71	21.36	28.06
2004-12-01	21.37	29.00	25.24	23.29	27.20
2004-11-01	11.13	29.85	24.22	18.97	29.48
2004-10-01	14.37	31.51	26.27	21.46	31.08
2004-09-01	10.34	31.41	23.89	17.05	30.74
2004-08-01	21.76	29.55	24.88	21.57	28.19
2004-07-01	0.00	0.00	0.00	0.00	0.00
2004-06-01	25.08	25.08	25.08	25.08	25.08
2004-05-01	22.47	33.41	28.61	24.87	32.35
2004-04-01	2.25	34.57	16.28	3.67	28.88
2004-03-01	16.27	36.13	31.50	28.24	34.76
2004-02-01	22.53	32.32	27.59	25.20	29.98
2004-01-01	15.41	28.53	24.71	21.36	28.06
2003-12-01	21.37	29.00	25.24	23.29	27.20
2003-11-01	11.13	29.85	24.22	18.97	29.48
2003-10-01	14.37	31.51	26.27	21.46	31.08
2003-09-01	10.34	31.41	23.89	17.05	30.74
2003-08-01	21.76	29.55	24.88	21.57	28.19
2003-07-01	0.00	0.00	0.00	0.00	0.00
2003-06-01	25.08	25.08	25.08	25.08	25.08
2003-05-01	22.47	33.41	28.61	24.87	32.35
2003-04-01	2.25	34.57	16.28	3.67	28.88
2003-03-01	16.27	36.13	31.50	28.24	34.76
2003-02-01	22.53	32.32	27.59	25.20	29.98
2003-01-01	15.41	28.53	24.71	21.36	28.06
2002-12-01	21.37	29.00	25.24	23.29	27.20
2002-11-01	11.13	29.85	24.22	18.97	29.48
2002-10-01	14.37	31.51	26.27	21.46	31.08
2002-09-01	10.34	31.41	23.89	17.05	30.74
2002-08-01	21.76	29.55	24.88	21.57	28.19
2002-07-01	0.00	0.00	0.00	0.00	0.00
2002-06-01	25.08	25.08	25.08	25.08	25.08
2002-05-01	22.47	33.41	28.61	24.87	32.35
2002-04-01	2.25	34.57	16.28	3.67	28.88
2002-03-01	16.27	36.13	31.50	28.24	34.76
2002-02-01	22.53	32.32	27.59	25.20	29.98
2002-01-01	15.41	28.53	24.71	21.36	28.06
2001-12-01	21.37	29.00	25.24	23.29	27.20
2001-11-01	11.13	29.85	24.22	18.97	29.48
2001-10-01	14.37	31.51	26.27	21.46	31.08
2001-09-01	10.34	31.41	23.89	17.05	30.74
2001-08-01	21.76	29.55	24.88	21.57	28.19
2001-07-01	0.00	0.00	0.00	0.00	0.00
2001-06-01	25.08	25.08	25.08	25.08	25.08
2001-05-01	22.47	33.41	28.61	24.87	32.35
2001-04-01	2.25	34.57	16.28	3.67	28.88
2001-03-01	16.27	36.13	31.50	28.24	34.76
2001-02-01	22.53	32.32	27.59	25.20	29.98
2001-01-01	15.41	28.53	24.71	21.36	28.06
2000-12-01	21.37	29.00	25.24	23.29	27.20
2000-11-01	11.13	29.85	24.22	18.97	29.48
2000-10-01	14.37	31.51	26.27	21.46	31.08
2000-09-01	10.34	31.41	23.89	17.05	30.74
2000-08-01	21.76	29.55	24.88	21.57	28.19
2000-07-01	0.00	0.00	0.00	0.00	0.00
2000-06-01	25.08	25.08	25.08	25.08	25.08
2000-05-01	22.47	33.41	28.61	24.87	32.35
2000-04-01	2.25	34.57	16.28	3.67	28.88
2000-03-01	16.27	36.13	31.50	28.24	34.76
2000-02-01	22.53	32.32	27.59	25.20	29.98
2000-01-01	15.41	28.53	24.71	21.36	28.06
