date,dS (m3)
2018-05-13,-252443.3832123
2018-05-14,-270597.072705
2018-05-19,-259083.1321563
2018-05-24,-262075.1841971
2018-05-29,-257923.9882861
2018-06-03,-257233.10249570003
2018-06-08,284419.4862437
2018-06-13,552417.4799625999
2018-06-14,422140.5470841
2018-06-18,498154.6294699
2018-06-23,467065.1027769
2018-06-28,491206.570826
2018-06-30,13877400.7632904
2018-07-03,-12322667.3534421
2018-07-08,61593865.512564
2018-07-13,32265020.0101376
2018-07-18,72030951.72097309
2018-07-23,51751151.8481927
2018-07-28,61877236.9489137
2018-08-01,58530959.958726
2018-08-02,17703206.7947408
2018-08-07,-7042477.7671144
2018-08-12,5391596.1568141
2018-08-17,-826533.2296637
2018-08-22,2284864.6840351
2018-08-27,728802.8450897
2018-09-01,1507571.9623231
2018-09-02,-1316300.6215179
2018-09-06,-2339197.7501707003
2018-09-11,-121555343.3700094
2018-09-21,40304085.7725268
2018-09-26,-29566217.9038603
2018-10-01,-5994563.8998452
2018-10-04,-12300439.3696162
2018-10-06,-3379251.5547471
2018-10-11,-67449862.2385505
2018-10-16,0.0
2018-10-20,-8652865.588851
2018-10-21,15627919.2058719
2018-10-26,-21240291.0638298
2018-10-31,7975781.5778584
2018-11-05,-6606117.177988901
2018-11-10,682100.0658761
2018-11-15,-3029657.8674965
2018-11-20,-18951753.5586675
2018-11-21,6468286.8122631
2018-11-25,-32216853.532538004
2018-11-30,12955020.7596721
2018-12-07,-9340385.1605955
2018-12-10,-18876272.4727072
2018-12-15,15361747.3497688
2018-12-20,-54464401.0519484
2018-12-23,26255628.0370683
2018-12-25,-35159940.2658678
2018-12-30,1778788.9285714
2019-01-04,-3208829.9298531003
2019-01-08,-715830.2788429001
2019-01-09,-1802119.3152041
2019-01-14,-485389.5614304
2019-01-19,-598058.9365705
2019-01-24,-541581.063524
2019-01-29,-569623.0247415
2019-02-03,-666455.0320685001
2019-02-08,-728763.2149087
2019-02-09,-697348.0469399
2019-02-13,-712756.5341678
2019-02-18,-704771.5735969
2019-02-23,-708473.7065721
2019-02-25,-20997645.3940979
2019-02-28,-234925.0848694
2019-03-05,0.0
2019-03-10,-710683.2194247
2019-03-13,12207.241457148571
2019-03-15,-1285662.7270687
2019-03-20,535834.136129
2019-03-25,-1181473.5026982
2019-03-29,283252.1644052
2019-03-30,-433846.3537997
2019-04-04,817725.2038956999
2019-04-09,-715774.6318644
2019-04-14,46129.45234217608
2019-04-19,-326801.1586559
2019-04-24,-141280.6446771
2019-04-29,-231113.2183364
2019-04-30,-163640.7482911
2019-05-04,-174310.6218278
2019-05-09,-167918.2445917
2019-05-14,-169934.4847006
2019-05-16,-167792.3796488
2019-05-19,-167690.71356220002
2019-05-24,-166572.0360658
2019-05-29,-165943.70856990002
2019-06-01,-165062.355043
2019-06-03,-164294.0854939
2019-06-08,-163458.2086846
2019-06-13,-162643.446945
2019-06-17,-161805.7845819
2019-06-18,-160966.5762554
2019-06-23,-160114.9790677
2019-06-28,-159255.9691298
2019-07-03,195904.4232929
2019-07-08,372756.1968023
2019-07-13,286498.4193798
2019-07-18,335725.1527126
2019-07-19,315059.06694229995
2019-07-23,330270.36558750004
2019-07-28,326948.182086
2019-08-02,333068.759851
2019-08-04,334264.42051930004
2019-08-07,337913.8349278
2019-08-12,340234.8796129
2019-08-17,343169.3117305
2019-08-20,345724.9106074
2019-08-22,348412.2305857
2019-08-27,350972.3080441
2019-09-05,171367.7657723
2019-09-06,78025.6295841586
2019-09-11,125386.2396483
2019-09-16,101914.7427671
2019-09-21,114088.9613859
2019-09-26,108321.0613442
2019-10-01,111580.9842776
2019-10-06,110296.1941558
2019-10-07,111296.8564069
2019-10-11,111145.9727933
2019-10-16,111573.0550316
2019-10-21,111707.8636105
2019-10-23,111988.2689387
2019-10-26,32108.90472008056
2019-11-05,-8227.418985788425
2019-11-08,11949.75934215782
2019-11-10,1859.649754456956
2019-11-15,8636.873408835067
2019-11-20,6978.737597189752
2019-11-24,7809.714818781063
2019-11-25,22572.5826219642
2019-11-30,1228920.0246172
2019-12-05,1078060.9690211
2019-12-10,1154345.9323171
2019-12-15,1116906.008813
2019-12-20,1136402.9614596
2019-12-25,1127393.1319754
2019-12-26,-4065150.8559168
2019-12-30,-2859383.3592444
2020-01-04,-52280.19430742131
2020-01-09,-34613.11049918368
2020-01-11,-43381.136083269244
2020-01-14,-38961.46352173973
2020-01-19,-41120.88037908927
2020-01-24,-39998.08451714905
2020-01-27,-49214.83327163835
2020-01-29,-53231.72031536497
2020-02-03,-51153.28268662973
2020-02-08,-52113.49141752284
2020-02-12,-51558.68960238546
2020-02-13,238149.2974001
2020-02-18,-213468.0215829
2020-02-23,11052.848739775012
2020-02-28,-100608.2302528
2020-03-04,567273.8842108
2020-03-09,-366714.3884887
2020-03-14,84501.7902837742
2020-03-15,-139844.031624
2020-03-19,-27884.64428179089
2020-03-24,-583666.9380065999
2020-03-29,232734.5520454
2020-03-31,-505744.0686824
2020-04-03,-619767.8214926999
2020-04-08,652648.0305758
2020-04-13,-663600.0118032
2020-04-16,-65248.016929821744
2020-04-18,-356652.754893
2020-04-23,-211045.0294253
2020-04-28,-280325.9511312
2020-05-02,-244019.4359995
2020-05-03,-259559.2822903
2020-05-13,-249613.2301781
2020-05-18,-252149.7766757
2020-05-23,-248531.1232726
2020-05-28,-175819.4768635
2020-06-03,-139520.9206798
2020-06-07,-156523.95678190002
2020-06-12,-147195.4431625
2020-06-17,-150863.0306254
2020-06-19,-148105.918556
2020-06-27,-148512.43969489998
